Team,Year,Total,Home,Away
Houston Texans,2021,"1,114,558","601,305","513,253"
Indianapolis Colts,2021,"1,081,420","562,276","519,144"
Jacksonville Jaguars,2021,"1,070,491","539,716","530,775"
Kansas City Chiefs,2021,"1,192,945","659,044","533,901"
Las Vegas Raiders,2021,"1,068,732","550,673","518,059"
Los Angeles Chargers,2021,"1,153,356","632,160","521,196"
Los Angeles Rams,2021,"1,187,786","572,791","614,995"
Miami Dolphins,2021,"1,110,828","579,366","531,462"
Minnesota Vikings,2021,"1,118,294","533,613","584,681"
New England Patriots,2021,"1,150,306","592,902","557,404"
New Orleans Saints,2021,"1,117,104","519,432","597,672"
New York Giants,2021,"1,207,885","591,052","616,833"
New York Jets,2021,"1,173,183","645,092","528,091"
Philadelphia Eagles,2021,"1,177,614","558,368","619,246"
Pittsburgh Steelers,2021,"1,103,916","544,397","559,519"
San Francisco 49ers,2021,"1,109,442","533,364","576,078"
Seattle Seahawks,2021,"1,141,021","547,264","593,757"
Tampa Bay Buccaneers,2021,"1,067,169","457,325","609,844"
Tennessee Titans,2021,"1,137,282","617,102","520,180"
Washington Commanders,2021,"1,081,126","422,009","659,117"
Arizona Cardinals,2022,"1,141,794","586,830","554,964"
Atlanta Falcons,2022,"1,167,681","626,248","541,433"
Baltimore Ravens,2022,"1,185,526","564,714","620,812"
Buffalo Bills,2022,"1,107,077","547,450","559,627"
Carolina Panthers,2022,"1,201,413","642,167","559,246"
Chicago Bears,2022,"1,131,267","538,410","592,857"
Cincinnati Bengals,2022,"1,109,393","463,733","645,660"
Cleveland Browns,2022,"1,118,849","539,448","579,401"
Dallas Cowboys,2022,"1,409,563","841,192","568,371"
Denver Broncos,2022,"1,251,020","607,845","643,175"
Detroit Lions,2022,"1,157,336","570,809","586,527"
Green Bay Packers,2022,"1,213,888","685,623","528,265"
Houston Texans,2022,"1,163,275","543,294","619,981"
Indianapolis Colts,2022,"1,163,736","524,474","639,262"
Jacksonville Jaguars,2022,"1,130,728","531,675","599,053"
Kansas City Chiefs,2022,"1,202,995","587,997","614,998"
Las Vegas Raiders,2022,"1,125,946","496,363","629,583"
Los Angeles Chargers,2022,"1,175,977","559,644","616,333"
Los Angeles Rams,2022,"1,218,216","654,606","563,610"
Miami Dolphins,2022,"1,152,651","529,841","622,810"
Minnesota Vikings,2022,"1,130,867","600,183","530,684"
New England Patriots,2022,"1,151,883","527,024","624,859"
New Orleans Saints,2022,"1,168,868","621,249","547,619"
New York Giants,2022,"1,243,963","688,266","555,697"
New York Jets,2022,"1,251,761","624,075","627,686"
Philadelphia Eagles,2022,"1,180,465","628,828","551,637"
Pittsburgh Steelers,2022,"1,151,279","530,243","621,036"
San Francisco 49ers,2022,"1,209,231","644,661","564,570"
Seattle Seahawks,2022,"1,174,177","619,491","554,686"
Tampa Bay Buccaneers,2022,"1,196,168","620,898","575,270"
Tennessee Titans,2022,"1,166,846","548,929","617,917"
Washington Commanders,2022,"1,084,489","522,954","561,535"
